X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.2437706725,0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871
0.2954575524,0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559
0.6054024256,0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857
0.3540242558,0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933
0.1479823594,0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271
0.2605292172,0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271,0.1335170893
0.1665049614,0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271,0.1335170893,0.1829106946
0.1705622933,0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271,0.1335170893,0.1829106946,0.1582138920
0.3910694598,0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271,0.1335170893,0.1829106946,0.1582138920,0.1758544653
0.2128996692,0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271,0.1335170893,0.1829106946,0.1582138920,0.1758544653,0.6045203969
0.2155457552,0.1917309813,0.3796030871,0.2217199559,0.4995589857,0.1705622933,0.3531422271,0.1335170893,0.1829106946,0.1582138920,0.1758544653,0.6045203969,0.3628445424
